ts,player_id,ownership
2026-06-11T18:03:56+00:00,139,0.2
2026-06-11T18:03:56+00:00,140,0.4
2026-06-11T18:03:56+00:00,141,0.3
2026-06-11T18:03:56+00:00,142,0.2
2026-06-11T18:03:56+00:00,143,0.0
2026-06-11T18:03:56+00:00,144,0.1
2026-06-11T18:03:56+00:00,145,0.5
2026-06-11T18:03:56+00:00,146,0.1
2026-06-11T18:03:56+00:00,147,1.0
2026-06-11T18:03:56+00:00,148,0.0
2026-06-11T18:03:56+00:00,149,0.1
2026-06-11T18:03:56+00:00,150,0.2
2026-06-11T18:03:56+00:00,151,0.0
2026-06-11T18:03:56+00:00,152,0.3
2026-06-11T18:03:56+00:00,153,0.7
2026-06-11T18:03:56+00:00,154,0.0
2026-06-11T18:03:56+00:00,155,0.3
2026-06-11T18:03:56+00:00,156,0.1
2026-06-11T18:03:56+00:00,157,0.0
2026-06-11T18:03:56+00:00,158,0.0
2026-06-11T18:03:56+00:00,159,0.0
2026-06-11T18:03:56+00:00,160,0.0
2026-06-11T18:03:56+00:00,161,0.1
2026-06-11T18:03:56+00:00,162,0.1
2026-06-11T18:03:56+00:00,164,20.0
2026-06-11T18:03:56+00:00,165,7.4
2026-06-11T18:03:56+00:00,166,0.3
2026-06-11T18:03:56+00:00,167,0.8
2026-06-11T18:03:56+00:00,168,0.4
2026-06-11T18:03:56+00:00,169,0.5
2026-06-11T18:03:56+00:00,170,0.1
2026-06-11T18:03:56+00:00,173,12.4
2026-06-11T18:03:56+00:00,174,3.2
2026-06-11T18:03:56+00:00,176,0.7
2026-06-11T18:03:56+00:00,177,0.2
2026-06-11T18:03:56+00:00,178,2.4
2026-06-11T18:03:56+00:00,179,0.2
2026-06-11T18:03:56+00:00,181,2.9
2026-06-11T18:03:56+00:00,182,2.9
2026-06-11T18:03:56+00:00,183,5.0
2026-06-11T18:03:56+00:00,186,0.3
2026-06-11T18:03:56+00:00,187,0.2
2026-06-11T18:03:56+00:00,188,2.0
2026-06-11T18:03:56+00:00,190,0.5
2026-06-11T18:03:56+00:00,195,0.1
2026-06-11T18:03:56+00:00,196,0.0
2026-06-11T18:03:56+00:00,198,0.0
2026-06-11T18:03:56+00:00,199,0.0
2026-06-11T18:03:56+00:00,200,0.0
2026-06-11T18:03:56+00:00,201,0.0
2026-06-11T18:03:56+00:00,202,0.0
2026-06-11T18:03:56+00:00,203,0.2
2026-06-11T18:03:56+00:00,205,0.1
2026-06-11T18:03:56+00:00,206,0.1
2026-06-11T18:03:56+00:00,207,0.1
2026-06-11T18:03:56+00:00,208,0.1
2026-06-11T18:03:56+00:00,209,0.0
2026-06-11T18:03:56+00:00,210,0.0
2026-06-11T18:03:56+00:00,211,0.0
2026-06-11T18:03:56+00:00,214,0.1
2026-06-11T18:03:56+00:00,215,0.0
